"x","y"
0.05,11.608794958981
0.06,11.6006016548885
0.07,11.6006016548885
0.08,11.5886499319386
0.09,11.5760487046913
0.1,11.5668630602574
0.11,11.5622665436592
0.12,11.5622409429315
0.13,11.5622409429315
0.14,11.5642280912138
0.15,11.5668991343627
0.16,11.5692822826785
0.17,11.5711605367535
0.18,11.5730655281304
0.19,11.5730655281304
0.2,11.5749742206147
0.21,11.5770117588326
0.22,11.5792752391575
0.23,11.5814454784342
0.24,11.583532684646
0.25,11.5852405581739
0.26,11.5852405581739
0.27,11.5865948621522
0.28,11.5876623305887
0.29,11.588542057196
0.3,11.5893036331473
0.31,11.5900309681098
0.32,11.5900309681098
0.33,11.590878848711
0.34,11.5918738892707
0.35,11.5929988110976
0.36,11.5941777279255
0.37,11.5953604884738
0.38,11.5953604884738
0.39,11.5964587378266
0.4,11.5973906928563
0.41,11.5980501892234
0.42,11.5983691145801
0.43,11.5983830029937
0.44,11.5983830029937
0.45,11.5980770467628
0.46,11.5975127017556
0.47,11.5967962064859
0.48,11.5959319340388
0.49,11.5950866195864
0.5,11.5944099786603
0.51,11.5944099786603
0.52,11.5939381404221
0.53,11.5937727312243
0.54,11.5939075071977
0.55,11.5943771526535
0.56,11.5950375206888
0.57,11.5950375206888
0.58,11.5958735500746
0.59,11.5968009023976
0.6,11.5978313682183
0.61,11.598809992626
0.62,11.5997686192832
0.63,11.5997686192832
0.64,11.600599165018
0.65,11.6013746622723
0.66,11.6020653439076
0.67,11.6027224371808
0.68,11.603341673247
0.69,11.603341673247
0.7,11.6038298186821
0.71,11.6043126114195
0.72,11.6047179189009
0.73,11.6051011730238
0.74,11.6054542995977
0.75,11.6057741205222
0.76,11.6057741205222
0.77,11.6060632156259
0.78,11.6063015259139
0.79,11.6065086636708
0.8,11.6067120743038
0.81,11.6068827355386
0.82,11.6068827355386
0.83,11.6070286919188
0.84,11.6071651199994
0.85,11.6073135298199
0.86,11.6074374576709
0.87,11.6075463762858
0.88,11.6075463762858
0.89,11.6076410453912
0.9,11.6077267068267
0.91,11.6077708601656
0.92,11.6078084626905
0.93,11.6078042660366
0.94,11.6078042660366
0.95,11.6077694181449
0.96,11.6075939759834
0.97,11.607279116941
0.98,11.6065789323699
0.99,11.6046340057305
